Question				Answer
ร้านมีเมนูอะไรบ้าง?							เรามีกาแฟสด ชา เบเกอรี่ และเครื่องดื่มเพื่อสุขภาพ เช่น สมูทตี้ น้ำผลไม้
กาแฟใช้เมล็ดอะไร?							เราใช้เมล็ดกาแฟไทยจากเชียงใหม่และเชียงราย รวมถึงเมล็ดนำเข้าพิเศษจาก Brazil และ Ethiopia
มีเมนูไม่มีคาเฟอีนไหม?							มีค่ะ เช่น กาแฟ Decaf, ชาสมุนไพร และน้ำผลไม้
ใช้นมอะไรบ้าง?								เรามีทั้งนมวัว นมถั่วเหลือง นมอัลมอนด์ และนมโอ๊ต ลูกค้าสามารถเลือกเปลี่ยนได้ตามต้องการ
ร้านมีอาหารคาวไหม?							มีเมนูเบา ๆ เช่น แซนด์วิช สลัด และพาสต้า (ขึ้นกับสาขา)
มีเมนูสำหรับคนทานเจหรือมังสวิรัติไหม?				มีค่ะ เช่น สลัดผักสด ขนมปัง และสามารถเลือกนมพืชในเครื่องดื่มได้
ร้านมี Wi-Fi ไหม?							มีค่ะ ฟรีสำหรับลูกค้าทุกคน
สามารถนำสัตว์เลี้ยงเข้าได้ไหม?					ได้ค่ะ หากเป็นโซน Outdoor
ร้านรับชำระเงินแบบไหนบ้าง?						เรารับเงินสด บัตรเครดิต และ Mobile Banking (QR พร้อมเพย์)
มีบริการสั่งกลับบ้านหรือ Delivery ไหม?			มีค่ะ สามารถสั่งได้ที่ร้าน หรือผ่านแอปเดลิเวอรี เช่น GrabFood, LINE MAN
สามารถสั่งล่วงหน้าได้ไหม?						ได้ค่ะ โทรสั่งที่ร้าน หรือสั่งผ่าน LINE Official
มีบริการกาแฟแกลลอนหรือ Cold Brew ไหม?		มีค่ะ เหมาะสำหรับงานเลี้ยงและออฟฟิศ
มีบัตรสะสมแต้มไหม?							มีค่ะ ซื้อครบ 10 แก้ว รับฟรี 1 แก้ว หรือสะสมแต้มผ่านแอปพลิเคชัน
ตอนนี้มีโปรโมชั่นอะไรบ้าง?						โปรโมชั่นอัปเดตตลอด ติดตามได้ที่ Facebook และ Instagram ของร้าน
